# Спосабы словаўтварэння:
# 
# _START_DICTIONARY
# 0. утваральнае слова
# 1. суфіксальны ад
# 1n. суфіксальны ад
# 2. прыставачны ад
# 3. прыставачна-суфіксальны ад
# 4. постфіксальны ад
# 5. прыставачна-постфіксальны ад
# 6. прыставачна-нульсуфіксальны ад
# 7. нульсуфіксальны ад
# 8. складанне асноў са злучальнай марфемай ад
# 9. складанне асноў + суфіксальны ад
# 10. складанне асноў + нульсуфікс у канцы другой часткі ад
# 11. словаскладанне ад
# 12. складанаскарочанае ад
# 13. марфолага-сінтаксічны ад
# 14. лексіка-семантычны ад
# 15. суфіксальна-поствіксальны ад
# 16. прыставачна-суфіксальна-постфіксальны ад
# 17. асноваскладанне ад
# 18. форма слова
# _END_DICTIONARY

1.  абавязак	абавязаць -->1	//абавяз(=<обо>-//вяз//)//-ак-/0/
2.  абавязковы	абавязак -->1	//абавяз(=<обо>-//вяз//)//-к-о%в-/ы/
3.  абазвацца	абазваць -->4	<аба(=аб)>-//зв(=зв)//-а%-ц-{ца}
4.  абаранак	0 -->	//абара%нак(=абаранак)//-/0/
5.  абараніць	бараніць -->2	<а(=о)>-//баран(=//бор//-н-)//-і%-ць
6.  абараняць	абараніць -->1	<а(=о)>-//баран(=//бор//-н-)//-я%-ць
7.  абарвацца	абарваць -->4	<аба(=аб)>-//рв(=рв)//-а%-ц-{ца}
8.  абарваць	рваць -->2	<аба(=аб)>-//рв(=рв)//-а%-ць
9.  абарона	абараняць -->7	<а(=о)>-//баро%н(=//бор//-н)//-:@:-/а/
10.  абаронца	абараняць -->1	<а(=о)>-//баро%н(=//бор//-н)//-ц-/а/
11.  абвесці	весці -->2	<аб(=аб)>-//ве%с(=вед)//-ці
12.  абвясціць	весць -->3	<аб(=аб)>-//вясц(=вед1)//-і%-ць
13.  абдымаць	абняць -->1	<аб(=аб)>-//дым(=нім)//-а%-ць
14.  абдымкі	абдымаць -->1	<аб(=аб)>-//ды%м(=нім)//-к-/і/
15.  абед	0 -->	//абе%д(=<аб>-//ед//)//-/0/
16.  абедаць	абед -->1	//абе%д(=<аб>-//ед//)//-а-ць
17.  аб'ект	0 -->	//аб'е%кт(=аб'ект)//-/0/
