							
	Аглушэнне і азванчэнне гукаў перад глухімі - распаўсюджваецца на некалькі папярэдніх гукаў. Таксама звонкі пераходзіць у глухі напрыканцы слова.						
	горад, горад быў, адтуліна, абдзяўбці						
							
З'ява:	Аглушэнне						
Падрабязнасці:	аглушэнне звонкага зычнага (ФБЛМ: с.325-326)						
Што адбываецца:	першы гук замяняецца глухім адпаведнікам						
Умовы:	гук 1	мяжа	гук 2 (неабавязковы)		Прыклады:		
якія гукі	б д дз з ж дж г ґ		глухі		горад	ˈɣɔrat	
апостраф					ня можа быць (?)		
прыстаўка+(прыстаўка ці корань)					подпіс		
корань+корань					адказаць	atkaˈzat͡sʲ	
мяжа слова					медсястра	mʲɛtʲsʲaˈstra	
злучок					ножка	ˈnɔʂka	
мяккасць - асіміляцыйная					казка	ˈkaska	
мяккасць - пазначаная					каб прыйшлі	ˈkapːrɨjˈʂlʲi	
доўгі гук					раз-пораз	raˈspɔras	
націск	-		-		падвезці	paˈdvʲɛsʲt͡sʲi	
					наскрозь	naˈskrɔsʲ	
					не ў лад	nʲa u̯ ˈɫat	
					не з ім	nʲa ˈzʲ jim	
					дождж	ˈdɔʂt͡ʂ	
					дождж быў		
							
З'ява:	Азванчэнне ц->д			// мяккі зычны перад цьвёрдым звонкім на стыку -- ц->д, іншыя выпадкі -- ц->дз			
Падрабязнасці:	азванчэнне мяккага ц (ФСБЛМ: с. 184, 326)						
Што адбываецца:	першы гук 'ц' замяняецца гукам 'д'						
Умовы:	гук 1	мяжа	гук 2		Прыклады:		
якія гукі	ц		звонкі		малацьба	maɫaˈd͡zʲba	
апостраф		-			моц рыфмы	ˈmɔt͡s ˈrɨfmɨ	- не адбываецца
прыстаўка+(прыстаўка ці корань)		так			хоць бы што	ˈxɔdʲ ˈbɨ ˈʂtɔ	
корань+корань		так			крычаць-галасіць	krɨt͡ʂadʲɣaɫasʲit͡sʲ	
мяжа слова		так			барацьбіт	baraˈd͡zʲbʲit	
злучок		так			супрацьдымны	supraˈdːɨmnɨ	
мяккасць - асіміляцыйная	так		не		супрацьзаконны	supradzaˈkɔn:ɨ	
мяккасць - пазначаная	так		не		супрацьгазавы	supraˈdɣazavɨ	супра[дз'г)азавы?
доўгі гук					супрацьпаказаны	s	
націск	-		-		супрацьтарпедны	s	
					супрацьхалерны	s	
					супрацьцынготны	s	
					супрацьчумны	s	
					супрацьшокавы	s	
							
З'ява:	Азванчэнне						
Падрабязнасці:	адбылося азванчэнне глухога (ФСБЛМ: с. 325-326, 329)						
Што адбываецца:	першы гук замяняецца звонкім адпаведнікам						
Умовы:	гук 1	мяжа	гук 2		Прыклады:		
якія гукі	п т ц с ш ч х к		звонкі		горад быў	ˈɣɔrad ˈbɨu̯	
апостраф					дызгармонія	dɨzɣarˈmɔnʲija	
прыстаўка+(прыстаўка ці корань)					палітбюро	palʲidbʲuˈrɔ	
корань+корань					касьба	kaˈzʲba	
мяжа слова					шэпт галін	ˈʂɛbd ɣaˈlʲin	
злучок					канёк-гарбунок	kanʲɔgɣarbuˈnɔk	
мяккасць - асіміляцыйная					крэсьбіны	krɛzʲbʲinɨ	
мяккасць - пазначаная					пакгаўз	paˈgɣau̯s	
доўгі гук					панк-група	panˈgɣrupa	
націск	-		-		рок-гурт	rɔˈgɣurt	
					банк-гарант	bangɣaˈrant	
