	Тут захаваныя прыклады, якія нельга аднесці да канкрэтнага правіла						
							
							
Прыклады							падаць як асобныя з'явы
	абрызгнуць	aˈbrɨzgnut͡sʲ					Аднаўленне г выбухнога з базы
	згаданы	zɣaˈdanɨ		не			
	джгаць	ˈd͡ʐgat͡sʲ					
	бразгат	ˈbrazgat					
	без вёскі	bʲazʲ ˈβʲɔskʲi					Яканне ў "не", "без"
	не вёска	nʲa ˈβʲɔska					
	не мозг	nʲa ˈmɔzak					
	не з ім	nʲa zʲ ˈjim					
	не дай божа	nʲa ˈdaj ˈbɔʐa	ня				
	не пад сілу	nʲɛ pat͡sʲ ˈsʲiɫu	не				
	не ў пару	nʲɛ u̯ paˈru	не				
	не ва ўсіх	nʲɛ va u̯sʲix	не				
	не як ён	nʲɛ jak ˈjɔn					
	не каб ён	nʲɛ kab ˈjɔn					
	не так бачны	nʲɛ tag ˈbat͡ʂnɨ					
	не так ён	nʲɛ tak ˈjɔn					
	не можа быць	nʲa ˈmɔʐa ˈbɨt͡sʲ					
