										
										
З'ява:	Пераход шыпячых перад свісцячымі (ва ўскосных склонах)									
Падрабязнасці:	Перад гістарычным "kʲ" (ФБЛМ: с.94-96, 327; ФСБМ: с. 112-117; FFJ: с. 255-256)									
Што адбываецца:	толькі калі пачатковая форма заканчваецца на "-ка", першы гук мяняецца на свісцячы									
Умовы:	гук 1	мяжа	гук 2	мяжа	гук 3	мяжа		Прыклады:		
якія гукі	ш ж дж ч		ц дз с з		ы э			нарэшце	n̪aˈrɛʂt͟͡sʲɛ	не
апостраф		не		не				прабачце	praˈbat͡ʂt͟͡sʲɛ	не
прыстаўка+(прыстаўка ці корань)		не		не				на мачце	n̪a ˈmat͡ʂt͟͡sʲɛ	не
корань+корань		не		не				на пошце	n̪a ˈpɔʂt͟͡sʲɛ	не
мяжа слова		не		не		так		на лодцы	n̪a ˈɫɔt͡s̪ːɨ	не, бо тц і так спрашчаецца
злучок		не		не		так		кош цягнем	ˈkɔʂ ˈt͟͡sʲaɣnʲɛm	не
мяккасць - асіміляцыйная	не		не		не			кош цыраты	ˈkɔʂ t͡s̪ɨˈrat̪ɨ	не
мяккасць - пазначаная	не		не		не			пелюшцы	ˈpʲɛlʲuʂt͡s̪ɨ	не, бо толькі множны лік
націск	-		-					мышца	ˈmɨʂt͡s̪a	не, бо не ўскосны склон
								мышцы	ˈmɨs̪t͡s̪ɨ	
								лямпачцы	ˈlʲampat͡s̪ːɨ	
								відавочцы	ʋʲid̪aˈβ̞ɔt͡ʂt͡s̪ɨ	не
								глушцы	ɣɫuˈʂt͡s̪ɨ	не
								селядцы	s̱ʲɛlʲaˈt͡s̪ːɨ	не
								пераможцы	pʲɛraˈmɔʂt͡s̪ɨ	не
								на лодцы-донцы	n̪a ˈɫɔt͡s̪ːɨd̪ɔn̪t͡s̪ɨ	не, бо тц і так спрашчаецца
								зеландцы	ẕʲɛˈɫan̪t͡s̪ːɨ	не
								фінляндцы	fʲinʲˈlʲan̪t͡s̪ːɨ	не
								абвычцы	abˈʋɨt͡s̪ːɨ	
								авечцы	aˈʋʲɛt͡s̪ːɨ	
								дарожцы	d̪aˈrɔs̪t͡s̪ɨ	
