						
	Аглушэнне і азванчэнне гукаў перад глухімі - распаўсюджваецца на некалькі папярэдніх гукаў. Таксама звонкі пераходзіць у глухі напрыканцы слова.					
	горад, горад быў, адтуліна, абдзяўбці					
						
З'ява:	Аглушэнне					
Log:	адбылося аглушэнне (), глядзіце старонку ????					
Умовы:	гук 1	мяжа	гук 2(неабавязковы)		Прыклады:	
якія гукі	б,д,дз,з,ж,дж,г,ґ		глухі альбо няма		горад, пасаг	horat
апостраф					ня можа быць (?)	
падзел - прыстаўка і корань					подпіс, абклеіць, адказаць 	
падзел - паміж каранямі					медсястра	
падзел - кораня і суфікса					ножка, казка	
падзел - мяжа слова					каб прыйшлі	
падзел - праз злучок					раз-пораз	
мяккасць - асіміляцыйная					падвезці	
мяккасць - пазначаная					наскрозь	
падвоены						
націск	-		-			
						
						
						
З'ява:	Азванчэнне ц->д			// мяккі зычны перад цьвёрдым звонкім на сутыку: ц->д. іншыя выпадкі - ц->дз		
Log:	адбылося азванчэнне мяккага ц (), глядзіце старонку ????					
Умовы:	гук 1	мяжа	гук 2		Прыклады:	
якія гукі	ц		звонкі			
апостраф		не				
падзел - прыстаўка і корань		так				
падзел - паміж каранямі		так				
падзел - кораня і суфікса		так				
падзел - мяжа слова		так				
падзел - праз злучок		так				
мяккасць - асіміляцыйная	так		не			
мяккасць - пазначаная	так		не			
падвоены						
націск	-		-			
						
						
З'ява:	Азванчэнне					
Log:	адбылося азванчэнне (), глядзіце старонку ????					
Умовы:	гук 1	мяжа	гук 2		Прыклады:	
якія гукі	п,т,ц,с,ш,ч,х,к		звонкі		горад быў	
апостраф						
падзел - прыстаўка і корань						
падзел - паміж каранямі						
падзел - кораня і суфікса						
падзел - мяжа слова						
падзел - праз злучок						
мяккасць - асіміляцыйная						
мяккасць - пазначаная						
падвоены						
націск	-		-			
